#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_1.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_1.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_1.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_2.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_2.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_2.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	185506636	185506974	Hic_chr_2	32473047	32473499	+	mRNA3895	1	0.43254
scaffold_1	190045755	190048923	Hic_chr_2	32863257	32866428	+	mRNA3989	1	0.935417
scaffold_1	190265331	190330255	Hic_chr_2	32982552	33016633	+	mRNA3993	1	0.913197
scaffold_1	190444847	190445028	Hic_chr_2	33091559	33091786	+	mRNA3995	1	0.651852
scaffold_1	190668429	190700428	Hic_chr_2	33243920	33254054	+	mRNA4003	1	0.515432
scaffold_1	191393086	191393235	Hic_chr_2	33686766	33686930	+	mRNA4009	1	0.379135
scaffold_1	200429973	200465070	Hic_chr_2	48160616	48172803	+	mRNA4163	1	0.657384
scaffold_1	200466099	200511836	Hic_chr_2	48175159	48198466	+	mRNA4164	1	0.966576
scaffold_1	225876518	225881294	Hic_chr_2	68118179	68122928	+	mRNA4709	1	0.642346
scaffold_1	227039235	227041047	Hic_chr_2	72973813	72975508	+	mRNA4739	1	0.766382
scaffold_1	227062638	227098908	Hic_chr_2	72980155	72996723	+	mRNA4740	1	0.999249
scaffold_1	229354993	229376069	Hic_chr_2	85108357	85125013	+	mRNA4798	1	0.730878
scaffold_1	229397192	229399205	Hic_chr_2	85146566	85148579	+	mRNA4799	1	0.943333
scaffold_1	230155495	230202700	Hic_chr_2	85621973	85654473	+	mRNA4821	1	0.812429
scaffold_1	230212041	230235492	Hic_chr_2	85657873	85689997	+	mRNA4824	1	0.578924
#block end
#block begin
scaffold_1	67936372	67950829	Hic_chr_2	1771852	1775959	+	mRNA1380	2	0.337089
scaffold_1	67995211	68084291	Hic_chr_2	1792552	1910869	+	mRNA1382	2	0.473316
scaffold_1	68250876	68294575	Hic_chr_2	2004122	2024540	+	mRNA1390	2	0.87617
scaffold_1	68401936	68426272	Hic_chr_2	2089935	2099600	+	mRNA1393	2	0.649247
scaffold_1	136783668	136784081	Hic_chr_2	5742658	5743071	+	mRNA2841	2	0.962704
scaffold_1	159710549	159729555	Hic_chr_2	6815805	6821826	+	mRNA3332	2	0.321799
scaffold_1	179122167	179123392	Hic_chr_2	8185876	8187101	+	mRNA3734	2	0.854701
scaffold_1	179185327	179204030	Hic_chr_2	16668789	16677397	+	mRNA3736	2	0.750588
scaffold_1	179685399	179712670	Hic_chr_2	17063147	17094343	+	mRNA3751	2	0.802691
scaffold_1	179824338	179833235	Hic_chr_2	17113428	17119996	+	mRNA3757	2	0.450684
scaffold_1	179943907	179968423	Hic_chr_2	17221300	17299018	+	mRNA3762	2	0.561914
scaffold_1	180260369	180301409	Hic_chr_2	17361911	17380607	+	mRNA3765	2	0.178349
#block end
#block begin
scaffold_1	260008466	260034262	Hic_chr_2	122417543	122466018	-	mRNA5485	3	0.338885
scaffold_1	260072964	260106950	Hic_chr_2	122329933	122367007	-	mRNA5486	3	0.764033
scaffold_1	260821111	260849880	Hic_chr_2	119181022	119213509	-	mRNA5504	3	0.876563
scaffold_1	260915506	260917992	Hic_chr_2	119120122	119122587	-	mRNA5505	3	0.981906
scaffold_1	260927859	260953966	Hic_chr_2	119046180	119096875	-	mRNA5506	3	0.80053
scaffold_1	263319345	263341690	Hic_chr_2	117368786	117377919	-	mRNA5549	3	0.954887
#block end
#block begin
scaffold_1	67169814	67177650	Hic_chr_2	21184851	21191511	-	mRNA1363	4	0.926566
scaffold_1	67238981	67323118	Hic_chr_2	21117883	21161801	-	mRNA1364	4	0.848534
scaffold_1	67726806	67729275	Hic_chr_2	20680590	20683623	-	mRNA1374	4	0.780662
#block end
#block begin
scaffold_1	246858052	246859707	Hic_chr_2	20347317	20348972	-	mRNA5192	5	0.996377
scaffold_1	247346886	247411244	Hic_chr_2	19940474	19964608	-	mRNA5195	5	0.663004
scaffold_1	248102224	248120105	Hic_chr_2	18952799	18962870	-	mRNA5200	5	0.722963
#block end
#block begin
scaffold_1	3255608	3279030	Hic_chr_2	93175932	93187260	+	mRNA62	6	0.720132
scaffold_1	3315338	3332371	Hic_chr_2	93221513	93226514	+	mRNA63	6	0.567763
scaffold_1	3388078	3427313	Hic_chr_2	93284513	93308084	+	mRNA65	6	0.722735
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_3.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_3.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_3.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	53519640	53541633	Hic_chr_3	6969351	6983753	+	mRNA1020	1	0.867448
scaffold_1	53576569	53576870	Hic_chr_3	7001926	7002227	+	mRNA1022	1	0.483974
scaffold_1	55287269	55337190	Hic_chr_3	8781877	8800550	+	mRNA1049	1	0.806706
scaffold_1	55473974	55602603	Hic_chr_3	8899636	8935897	+	mRNA1056	1	0.720183
scaffold_1	55716540	55760563	Hic_chr_3	8985942	9016915	+	mRNA1059	1	0.854111
scaffold_1	56354518	56391545	Hic_chr_3	9242712	9404986	+	mRNA1077	1	0.812757
scaffold_1	56642286	56642505	Hic_chr_3	9410649	9410867	+	mRNA1082	1	0.546875
scaffold_1	56749881	56752277	Hic_chr_3	9464557	9465808	+	mRNA1085	1	0.601218
scaffold_1	56887347	56887485	Hic_chr_3	9545266	9545404	+	mRNA1091	1	0.199713
scaffold_1	57000865	57008903	Hic_chr_3	9597221	9598999	+	mRNA1097	1	0.390602
scaffold_1	57092923	57093302	Hic_chr_3	9647163	9647527	+	mRNA1104	1	0.942257
scaffold_1	57283471	57288405	Hic_chr_3	9747853	9755292	+	mRNA1115	1	0.771812
scaffold_1	57331843	57332162	Hic_chr_3	9785680	9786025	+	mRNA1117	1	0.898305
scaffold_1	57371919	57382894	Hic_chr_3	9805784	9819896	+	mRNA1119	1	0.821656
#block end
#block begin
scaffold_1	63422762	63469466	Hic_chr_3	87977750	88005375	-	mRNA1264	2	0.691257
scaffold_1	74584190	74602758	Hic_chr_3	84078415	84087933	-	mRNA1506	2	0.878419
scaffold_1	74614651	74626107	Hic_chr_3	84055716	84061319	-	mRNA1507	2	0.432039
scaffold_1	75128785	75287996	Hic_chr_3	81094842	81121785	-	mRNA1523	2	0.822675
scaffold_1	75731098	75775522	Hic_chr_3	68274557	68287244	-	mRNA1532	2	0.916345
scaffold_1	76637337	76671910	Hic_chr_3	68183712	68198374	-	mRNA1559	2	0.863124
scaffold_1	76684113	76716059	Hic_chr_3	68166431	68178916	-	mRNA1560	2	0.988189
scaffold_1	76717842	76733718	Hic_chr_3	68155418	68165512	-	mRNA1561	2	0.782427
scaffold_1	79339589	79417457	Hic_chr_3	56552748	56585642	-	mRNA1641	2	0.82307
#block end
#block begin
scaffold_1	118803379	118863123	Hic_chr_3	104316721	104358345	-	mRNA2410	3	0.704483
scaffold_1	118948196	118999213	Hic_chr_3	104252024	104275753	-	mRNA2411	3	0.815972
scaffold_1	120986891	121003536	Hic_chr_3	99275483	99303570	-	mRNA2447	3	0.78177
scaffold_1	121016380	121045286	Hic_chr_3	99229460	99273032	-	mRNA2448	3	0.91933
scaffold_1	230169927	230202699	Hic_chr_3	91515894	91520223	-	mRNA4821	3	0.561582
scaffold_1	230212050	230230786	Hic_chr_3	91499235	91514000	-	mRNA4824	3	0.654321
#block end
#block begin
scaffold_1	29551608	29606647	Hic_chr_3	54014884	54042215	+	mRNA641	4	0.644185
scaffold_1	29709633	29734646	Hic_chr_3	54186835	54201839	+	mRNA644	4	0.968889
scaffold_1	29873621	29878013	Hic_chr_3	54366544	54370190	+	mRNA648	4	0.343247
scaffold_1	29963331	29999412	Hic_chr_3	54427711	54442546	+	mRNA650	4	0.85369
scaffold_1	30191286	30217054	Hic_chr_3	54752595	54770204	+	mRNA656	4	0.805952
#block end
#block begin
scaffold_1	98693601	98702772	Hic_chr_3	39507828	39517342	+	mRNA2016	5	0.816777
scaffold_1	101087862	101203243	Hic_chr_3	43674471	43794158	+	mRNA2052	5	0.545936
scaffold_1	101644197	101828630	Hic_chr_3	44037905	44121112	+	mRNA2071	5	0.981253
scaffold_1	101984907	102104569	Hic_chr_3	44140340	44206522	+	mRNA2076	5	0.836809
#block end
#block begin
scaffold_1	6903603	6922097	Hic_chr_3	12272657	12284034	-	mRNA146	6	0.806548
scaffold_1	24815440	24869137	Hic_chr_3	11908839	11949717	-	mRNA540	6	0.637707
scaffold_1	24909997	24922585	Hic_chr_3	11837057	11857441	-	mRNA542	6	0.73298
scaffold_1	24952496	25001732	Hic_chr_3	11789135	11827411	-	mRNA543	6	0.894622
#block end
#block begin
scaffold_1	118049949	118050274	Hic_chr_3	44320220	44320545	-	mRNA2398	7	0.548822
scaffold_1	118159461	118232764	Hic_chr_3	44255827	44272775	-	mRNA2400	7	0.740208
scaffold_1	118276888	118311961	Hic_chr_3	44227002	44241242	-	mRNA2404	7	0.821558
#block end
#block begin
scaffold_1	35334720	35335675	Hic_chr_3	47021888	47022843	+	mRNA740	8	0.718654
scaffold_1	35348588	35360742	Hic_chr_3	47048236	47056781	+	mRNA741	8	0.387195
scaffold_1	35367277	35439910	Hic_chr_3	47059350	47076817	+	mRNA742	8	0.968165
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_4.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_4.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_4.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	159912180	159997078	Hic_chr_4	83646667	83756035	-	mRNA3337	1	0.291337
scaffold_1	163364244	163384072	Hic_chr_4	72463068	72469491	-	mRNA3407	1	0.74802
scaffold_1	185816009	185817465	Hic_chr_4	63748130	63749586	-	mRNA3903	1	0.909496
scaffold_1	185837675	185867690	Hic_chr_4	63728010	63731263	-	mRNA3904	1	0.673599
scaffold_1	185884803	185907184	Hic_chr_4	63703113	63717740	-	mRNA3905	1	0.865406
